Manufacture,Product,Status,Compliance,Number of Functions,Channel,Package Type,Drain-Source Voltage VDS (V),Gate-Source Voltage VGS (V),Drain Current ID (A),Drain-Source On-Resistance RDS(ON) Max @VGS=10V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=4.5V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=2.5V (Ω),Gate Threshold Voltage VGS(th) Min (V),Gate Threshold Voltage VGS(th) Max (V),ESD Diodes,Junction Temperature Tj [max] (°C),Single Pulsed Avalanche Energy EAS(mJ),Pulsed Drain Current IDM(A)
MCC (Micro Commercial Components),MCG029N06Q,Active,A R H,Single,N,PDFN3333,60,±20,23,0.029,0.049,,1.5,2.5,No,175,32,92
MCC (Micro Commercial Components),MCAC6D9N06LQ,Active,A R H,Single,N,DFN5060,60,±20,75,0.0069,0.0095,,1.3,2.3,No,175,156,300
MCC (Micro Commercial Components),MCG5D7N04YHQ,Active,A R H,Single,N,PDFN3333,40,±20,69,0.0057,,,2,4,No,175,82,276
MCC (Micro Commercial Components),MCQ10N04,Active,R H,Single,N,SOP-8,40,±20,10,0.015,0.024,,1,2.5,No,150,49,40
MCC (Micro Commercial Components),MCG018N06L,Active,R H,Single,N,PDFN3333,60,±20,30,0.018,0.022,,1,2,No,150,55,120
MCC (Micro Commercial Components),MCG120N10L,Active,R H,Single,N,PDFN3333,100,±20,10,0.12,0.13,,1.3,2.3,No,175,18,40
MCC (Micro Commercial Components),MCG6D0N03YL,Active,R H,Single,N,PDFN3333-B,30,±20,45,0.006,0.012,,1,2.5,No,150,36,180
MCC (Micro Commercial Components),MCAC2D7N06YL,Active,R H,Single,N,DFN5060,60,±20,120,0.0027,0.0041,,1.3,2.3,No,150,361,480
MCC (Micro Commercial Components),MCAC1D1N03YL,Active,R H,Single,N,DFN5060,30,±20,240,0.0011,0.0017,,1.2,2.5,No,175,625,960
MCC (Micro Commercial Components),MCAC1D4N04YL,Active,R H,Single,N,DFN5060,40,±20,185,0.0014,0.0022,,1.3,2.3,No,150,900,740
MCC (Micro Commercial Components),MCG20N06HE3,Active,A R H,Single,N,PDFN3333,60,±20,20,0.028,0.035,,1,2.5,No,150,30,80
MCC (Micro Commercial Components),MCAC5D3N06YHE3,Active,A R H,Single,N,DFN5060,60,±20,75,0.0053,,,2,4,No,175,169,300
MCC (Micro Commercial Components),MCAC8D8N04YL,Active,R H,Single,N,DFN5060,40,±20,45,0.0088,0.015,,1.2,2.5,No,150,49,180
MCC (Micro Commercial Components),MCAC110N06Y,Active,R H,Single,N,DFN5060,60,±20,110,0.0028,0.0048,,1,2.5,No,150,220,440
MCC (Micro Commercial Components),MCAC5D5N03YL,Active,R H,Single,N,DFN5060,30,±20,55,0.0055,0.012,,1.2,2.2,No,150,36,220
MCC (Micro Commercial Components),MCG8D8N04YL,Active,R H,Single,N,DFN3333,40,±20,47,0.0088,0.015,,1.2,2.5,No,150,64,188
MCC (Micro Commercial Components),MCGL2D1N03YL,Active,R H,Single,N,PDFN3333-B,30,±20,100,0.0021,0.0045,,1.2,2.5,No,175,162,400
MCC (Micro Commercial Components),MCACL2D4N06YL,Active,R H,Single,N,DFN5060,60,±20,200,0.0024,0.0035,,1,2.5,No,175,242,800
MCC (Micro Commercial Components),MCQ070N15YH,Active,R H,Single,N,SOP-8,150,±20,5,0.07,,,2,4,No,150,4.4,20
MCC (Micro Commercial Components),MCAC3D8N04YHQ,Active,A R H,Single,N,DFN5060,40,±20,110,0.0038,,,2.2,3.8,No,175,273,440
MCC (Micro Commercial Components),MCAC6D5N10Y,Active,R H,Single,N,DFN5060,100,±20,80,0.0065,,,2,3,No,150,156,320
MCC (Micro Commercial Components),MCAC017N10YLQ,Active,A R H,Single,N,DFN5060,100,±20,40,0.017,0.022,,1.3,2.3,No,175,64,160
MCC (Micro Commercial Components),MCAC5D2N10YL,Active,R H,Single,N,DFN5060,100,±20,95,0.0052,0.0063,,1.1,2.5,No,150,400,380
MCC (Micro Commercial Components),MCAC140N04Y,Active,R H,Single,N,DFN5060,40,±20,140,0.002,0.0039,,1,3,No,175,169,560
MCC (Micro Commercial Components),MCG029N06L,Active,R H,Single,N,DFN3333,60,±20,18,0.029,0.035,,1,2.5,No,150,36,72
MCC (Micro Commercial Components),MCG4D8N04Y,Active,R H,Single,N,PDFN3333,40,±20,75,0.0048,,,2,4,No,175,54,300
MCC (Micro Commercial Components),MCG6D9N04YHQ,Active,A R H,Single,N,PDFN3333,40,±20,50,0.0069,,,2,4,No,175,68,200
MCC (Micro Commercial Components),MCAC032N06Q,Active,A R H,Single,N,DFN5060,60,±20,20,0.032,0.055,,1.5,2.5,No,175,36,80
MCC (Micro Commercial Components),MCAC3D4N10YH,Active,R H,Single,N,PDFN5060-8A,100,±20,196,0.0034,,,2,4,No,175,578,784
MCC (Micro Commercial Components),MCG5D9N03YL,Active,R H,Single,N,DFN3333,30,±20,45,0.0059,0.011,,1.2,2.5,No,150,30,180
MCC (Micro Commercial Components),MCG3D2N03YL,Active,R H,Single,N,PDFN3333,30,±20,70,0.0032,0.0056,,1.2,2.5,No,150,84,280
MCC (Micro Commercial Components),MCACL1D5N04YHE3,Active,A R H,Single,N,DFN5060-C,40,±20,302,0.0015,,,2,4,No,175,324,1208
MCC (Micro Commercial Components),MCACL1D7N04YHHE3,Active,A R H,Single,N,DFN5060-C,40,±20,180,0.0017,,,2,4,No,175,506,720
MCC (Micro Commercial Components),MCG4D8N04YHE3,Active,A R H,Single,N,PDFN3333,40,±20,75,0.0048,,,2,4,No,175,54,300
MCC (Micro Commercial Components),MCAC1D9N04YL,Active,R H,Single,N,DFN5060,40,±20,95,0.0019,0.0028,,1,2.5,No,150,400,380
