,,Small Signal Schottky Diodes,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,IF(AV)(A),VRWM (V),"VF
(V) [max]@IF(A)","IR (uA) [max] @
VR",VR (V),IF(A),Tj [max] (°C)
,,,,,,,,,,,,,
MCC (Micro Commercial Components),BAT54SHE3,Active,A R H,Dual,Series,SOT-23,0.2,30,0.4,2,25,0.01,125
MCC (Micro Commercial Components),BAT64-04,Active,R H,Dual,Series,SOT-23,0.25,40,0.43,2,25,0.01,150
MCC (Micro Commercial Components),BAS40-04,Active,R H,Dual,Series,SOT-23,0.2,40,1,0.01,30,0.04,125
MCC (Micro Commercial Components),BAT54S,Active,R H,Dual,Series,SOT-23,0.2,30,0.4,2,25,0.01,125
MCC (Micro Commercial Components),BAS70-04,Active,R H,Dual,Series,SOT-23,0.07,70,1,0.01,50,0.015,125
MCC (Micro Commercial Components),BAS70-04HE3,Active,A R H,Dual,Series,SOT-23,0.07,70,1,0.2,50,0.015,125
MCC (Micro Commercial Components),BAS40WT-04,Active,R H,Dual,Series,SOT-323,0.2,40,1,1,30,0.04,150
MCC (Micro Commercial Components),BAS70WT-04,Active,R H,Dual,Series,SOT-323,0.07,70,1,0.1,50,0.015,125
MCC (Micro Commercial Components),BAT54SWTHE3,Active,A R H,Dual,Series,SOT-323,0.2,30,0.8,2,25,0.1,125
MCC (Micro Commercial Components),RB706F-40,Active,R H,Dual,,SOT-323,0.03,40,0.37,1,10,0.001,150
MCC (Micro Commercial Components),BAS40WT-04HQ,Active,A R H,Dual,Series,SOT-323,0.12,40,1,0.2,30,0.04,150
MCC (Micro Commercial Components),BAS40WT-04HE3,Active,A R H,Dual,Series,SOT-323,0.12,40,1,0.2,30,0.04,150
MCC (Micro Commercial Components),BAT54SWT,Active,R H,Dual,Series,SOT-323,0.2,30,0.8,2,25,0.1,125
MCC (Micro Commercial Components),BAT64-04W,Active,R H,Dual,Series,SOT-323,0.25,40,0.52,2,30,0.03,150
MCC (Micro Commercial Components),BAS70WT-04HE3,Active,A R H,Dual,Series,SOT-323,0.07,70,1,0.2,50,0.015,125
MCC (Micro Commercial Components),BAT54SWTH,Active,R H,Dual,Series,SOT-323,0.2,30,0.8,2,25,0.1,150
MCC (Micro Commercial Components),BAT64-06W,Active,R H,Dual,Common Anode,SOT-323,0.25,40,0.52,2,30,0.03,150
MCC (Micro Commercial Components),BAT64-05W,Active,R H,Dual,Common Cathode,SOT-323,0.25,40,0.52,2,30,0.03,150
MCC (Micro Commercial Components),BAS70DW-06,Active,R H,Dual,Common Anode,SOT-363,0.07,70,1,0.1,50,0.015,125
MCC (Micro Commercial Components),BAS40DW-06,Active,R H,Dual-Dual,Common Anode,SOT-363,0.2,40,1,0.2,30,0.04,125
MCC (Micro Commercial Components),BAT54ADW,Active,R H,Dual-Dual,Common Anode,SOT-363,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),BAT54CDW,Active,R H,Dual-Dual,Common Cathode,SOT-363,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),BAS40DW-05,Active,R H,Dual-Dual,Common Cathode,SOT-363,0.2,40,1,0.2,30,0.04,125
MCC (Micro Commercial Components),BAS70DW-05,Active,R H,Dual,Common Cathode,SOT-363,0.07,70,1,0.1,50,0.015,125
MCC (Micro Commercial Components),BAT54BRW,Active,R H,Dual-Dual,Series,SOT-363,0.2,30,1,2,25,0.1,150
MCC (Micro Commercial Components),BAS70BRW,Active,R H,Dual-Dual,Series,SOT-363,0.07,70,1,0.1,50,0.015,125
MCC (Micro Commercial Components),BAS40BRW,Active,R H,Dual-Dual,Series,SOT-363,0.2,40,1,0.2,30,0.04,125
MCC (Micro Commercial Components),RB717F,Active,R H,Dual,,SOT-323,0.03,40,0.37,1,10,0.001,125
MCC (Micro Commercial Components),BAT46X,Active,R H,Single,,SOD-523,0.2,100,1,0.1,50,0.2,125
MCC (Micro Commercial Components),1SS388,Active,R H,Single,,SOD-523,0.1,45,0.36,5,10,0.01,125
MCC (Micro Commercial Components),RB500V-40,Active,R H,Single,,SOD-323,0.1,40,0.45,1,10,0.01,125
MCC (Micro Commercial Components),RB501V-40,Active,R H,Single,,SOD-323,0.1,40,0.34,30,10,0.01,125
MCC (Micro Commercial Components),RB715F,Active,R H,Dual,,SOT-323,0.03,40,0.37,1,10,0.001,150
MCC (Micro Commercial Components),RB495DS,Active,R H,Dual,,SOT-23,0.4,40,0.5,70,25,0.2,125
MCC (Micro Commercial Components),RB715W,Active,R H,Dual,,SOT-523,0.03,40,0.37,1,10,0.001,150
MCC (Micro Commercial Components),BAS70DW-04,Active,R H,Dual,Series,SOT-363,0.07,70,1,0.1,50,0.015,125
MCC (Micro Commercial Components),BAT54SDW,Active,R H,Dual-Dual,Series,SOT-363,0.2,30,1,2,25,0.1,150
